Pos.,Sexe,Nom,Rànquing. Freqüència,Rànquing. ‰
1,H,MARC,9.580,12,86
2,D,MARTINA,7.578,10,18
3,D,JÚLIA/JULIA,7.476,10,04
4,H,ÀLEX/ÁLEX,6.658,8,94
5,D,LAIA,6.475,8,69
6,H,POL,6.318,8,48
7,D,MARIA/MARÍA,6.054,8,13
8,H,ERIC/ÈRIC/ÉRIC,5.947,7,99
9,D,PAULA,5.917,7,95
10,D,LUCÍA,5.789,7,77
11,H,PAU,5.702,7,66
12,H,BIEL,5.662,7,60
13,H,JAN,5.569,7,48
14,H,MARTÍ,5.531,7,43
15,D,CARLA,5.486,7,37
16,H,HUGO,5.417,7,27
17,H,ARNAU,5.161,6,93
18,D,EMMA,5.144,6,91
19,H,NIL,5.014,6,73
20,D,AINA,4.977,6,68
21,D,NOA,4.865,6,53
22,D,SARA,4.311,5,79
23,D,CLÀUDIA/CLAUDIA,4.238,5,69
24,D,ONA,3.909,5,25
25,H,GERARD,3.902,5,24
26,H,ALEIX,3.856,5,18
27,H,LEO,3.785,5,08
28,D,ABRIL,3.784,5,08
29,H,DANIEL,3.766,5,06
30,D,ALBA,3.757,5,05
31,D,SOFÍA/SOFIA,3.626,4,87
32,H,DAVID,3.504,4,71
33,H,ADAM,3.498,4,70
34,D,ARLET,3.299,4,43
35,H,LUCAS,3.279,4,40
36,D,JANA,3.213,4,31
37,D,DANIELA,3.153,4,23
38,D,ARIADNA,3.013,4,05
39,H,ADRIÀ,2.941,3,95
40,H,JORDI,2.861,3,84
41,H,JOEL,2.857,3,84
42,H,ORIOL,2.833,3,80
43,H,MOHAMED,2.656,3,57
44,H,ROGER,2.634,3,54
45,H,BRUNO,2.616,3,51
46,D,BERTA,2.537,3,41
47,H,IKER,2.486,3,34
48,D,VALÈRIA/VALERIA,2.482,3,33
49,H,JOAN,2.448,3,29
50,D,VALENTINA,2.436,3,27
51,D,ANNA,2.411,3,24
52,H,IZAN,2.406,3,23
53,D,NORA,2.385,3,20
54,H,GUILLEM,2.345,3,15
55,D,MIA,2.332,3,13
56,H,VÍCTOR,2.303,3,09
57,H,MAX,2.292,3,08
58,H,ALEJANDRO,2.227,2,99
59,H,ROC,2.189,2,94
60,D,CHLOE/CHLÓE,2.124,2,85
61,H,IAN,2.113,2,84
62,D,IVET,2.079,2,79
63,H,UNAI,2.071,2,78
64,D,LAURA,2.060,2,77
65,H,ENZO,2.058,2,76
66,H,ADRIÁN,2.038,2,74
67,D,AINHOA,2.022,2,72
68,H,PABLO,1.989,2,67
69,H,MARIO,1.979,2,66
70,D,NÚRIA/NURIA,1.939,2,60
71,H,LLUC,1.896,2,55
72,D,MAR,1.887,2,53
73,D,MARINA,1.872,2,51
74,D,CLARA,1.834,2,46
75,H,ERIK,1.785,2,40
76,D,IRENE,1.763,2,37
77,D,MARTA,1.723,2,31
78,D,CARLOTA,1.708,2,29
79,H,RAYAN,1.706,2,29
80,H,IVAN/IVÁN,1.700,2,28
81,D,BRUNA,1.674,2,25
82,D,MARIONA,1.667,2,24
83,D,LIA/LÍA,1.655,2,22
84,H,ARAN/ARÁN,1.606,2,16
85,H,HÈCTOR/HÉCTOR,1.578,2,12
86,D,LEIRE,1.563,2,10
87,D,AITANA,1.556,2,09
88,H,ÁLVARO,1.550,2,08
89,H,AARON/AARÓN,1.548,2,08
90,H,GAEL,1.536,2,06
91,H,MATEO,1.516,2,04
92,H,SERGI,1.507,2,02
93,D,GALA,1.501,2,02
94,D,ELSA,1.499,2,01
95,H,DÍDAC,1.488,2,00
96,D,OLÍVIA/OLIVIA,1.466,1,97
97,D,AINARA,1.464,1,97
98,H,DYLAN,1.439,1,93
99,D,ÈLIA/ELIA,1.420,1,91
100,H,AITOR,1.408,1,89
101,H,NICOLÀS/NICOLÁS,1.395,1,87
102,D,ALMA,1.377,1,85
102,D,AYA,1.377,1,85
104,H,MARTÍN,1.369,1,84
105,H,GABRIEL,1.351,1,81
106,H,AXEL,1.341,1,80
107,D,MALAK,1.322,1,78
108,H,DIEGO,1.287,1,73
109,H,ELOI,1.286,1,73
110,D,VERA,1.277,1,71
111,D,BLANCA,1.253,1,68
112,H,ISAAC,1.247,1,67
113,H,QUIM,1.245,1,67
114,H,LUCÀ,1.241,1,67
115,H,JULEN,1.202,1,61
116,H,YOUSSEF,1.197,1,61
117,D,ADRIANA,1.194,1,60
118,D,LEYRE,1.182,1,59
119,D,ALÈXIA/ALEXIA,1.168,1,57
120,D,LOLA,1.165,1,56
121,H,XAVIER,1.156,1,55
122,H,ALAN,1.153,1,55
122,D,QUERALT,1.153,1,55
124,H,THIAGO,1.149,1,54
125,H,MIQUEL,1.145,1,54
126,H,ALBERT,1.144,1,54
127,H,LIAM,1.107,1,49
128,H,BERNAT,1.104,1,48
129,D,MIREIA,1.074,1,44
130,D,ZOÈ/ZOÉ/ZOE,1.072,1,44
131,D,INÉS,1.070,1,44
132,H,ANTONIO,1.068,1,43
132,D,NAIA,1.068,1,43
134,D,LARA,1.064,1,43
135,D,NEREA,1.061,1,42
136,D,IRIS,1.055,1,42
137,H,JOSÉ,1.051,1,41
138,D,ANDREA,1.038,1,39
139,H,FERRAN,1.025,1,38
140,D,ALEXANDRA,1.021,1,37
141,D,SALMA,1.003,1,35
142,D,ELENA,1.001,1,34
143,H,TEO,987,1,33
144,D,JOANA,982,1,32
145,H,SAMUEL,979,1,31
146,H,OLIVER,977,1,31
147,D,HELENA,965,1,30
148,H,ÒSCAR/ÓSCAR,961,1,29
149,H,OMAR,947,1,27
150,D,VEGA,932,1,25
151,H,XAVI,930,1,25
152,D,ANA,928,1,25
153,H,ÀNGEL/ÁNGEL,927,1,24
153,D,CLOÈ/CLOE,927,1,24
155,D,EVA,926,1,24
156,H,RAÜL/RAÚL,915,1,23
157,H,AMIR,896,1,20
157,H,SERGIO,896,1,20
159,H,CARLOS,894,1,20
160,D,MÀRIAM/MARIAM,890,1,20
161,H,ANIOL,886,1,19
162,D,GINA,867,1,16
163,H,MANUEL,860,1,15
164,D,CANDELA,856,1,15
164,H,MARCEL,856,1,15
166,D,FÀTIMA/FÁTIMA,854,1,15
167,D,LINA,844,1,13
168,H,ASIER,842,1,13
168,D,NATÀLIA/NATALIA,842,1,13
170,H,ANAS/ANÁS,841,1,13
171,H,ISMAEL,815,1,09
171,H,NOAH,815,1,09
173,D,AMIRA,803,1,08
174,D,MARWA,794,1,07
175,H,JAVIER,789,1,06
176,H,JUAN,784,1,05
177,H,MARCOS,778,1,04
178,D,JUDIT,768,1,03
179,D,JUDITH,764,1,03
180,H,IMRAN,762,1,02
180,D,IRIA/IRÍA,762,1,02
182,D,VICTÒRIA/VICTORIA,747,1,00
183,D,ELNA,742,1,00
184,H,MIGUEL,737,0,99
185,D,NOUR,721,0,97
186,H,RUBÈN/RUBÉN,706,0,95
187,D,YASMIN,703,0,94
188,D,GISELA,701,0,94
189,H,EDGAR,698,0,94
190,D,IRINA,697,0,94
191,H,AYMAN,683,0,92
192,H,GENÍS,678,0,91
193,H,ÀYOUB/ÁYOUB,667,0,90
194,D,GRETA,665,0,89
195,D,XÈNIA/XENIA,656,0,88
196,H,JOSEP,649,0,87
197,H,KILIAN,645,0,87
197,H,SANTIAGO,645,0,87
199,H,TOMÀS/TOMÁS,640,0,86
200,D,NAYARA,639,0,86
201,D,CRISTINA,636,0,85
201,H,FRANCISCO,636,0,85
203,H,JAUME,632,0,85
204,H,MARCO,629,0,84
205,D,ARES,623,0,84
206,D,ROCÍO,619,0,83
207,H,ARITZ,618,0,83
208,D,ALÍCIA/ALICIA,611,0,82
209,H,BLAI,609,0,82
210,D,NAIARA,603,0,81
211,H,DEREK,600,0,81
212,H,CESC,591,0,79
213,D,AROA,589,0,79
214,D,KHADIJA,583,0,78
215,H,NICO,581,0,78
216,H,MANEL,575,0,77
217,D,JANNAT,570,0,77
217,D,NÀDIA/NADIA,570,0,77
219,D,CARMEN,565,0,76
220,D,ISONA,557,0,75
221,H,JON,556,0,75
222,D,ALEJANDRA,554,0,74
223,D,NICOLE,548,0,74
224,H,YERAY,546,0,73
225,D,ÍNGRID,545,0,73
226,H,ENRIC,544,0,73
227,H,IBRAHIM,541,0,73
228,D,RITA,540,0,73
229,D,MAIA,538,0,72
230,D,SIRA,533,0,72
231,H,MATÍAS,529,0,71
232,D,ÀFRICA/ÁFRICA,520,0,70
233,D,ADA,518,0,70
233,H,PERE,518,0,70
235,D,ERIKA,509,0,68
236,H,GUIM,508,0,68
237,H,BILAL,507,0,68
238,H,CRISTIÁN,500,0,67
239,H,KAI,499,0,67
240,D,ISABELLA,493,0,66
240,D,NAHIA,493,0,66
242,H,ABEL,490,0,66
243,H,ELÍAS,489,0,66
244,H,AKRAM,488,0,66
245,D,DINA,486,0,65
245,H,RAFAEL,486,0,65
247,D,ANAÍS/ANAÏS/ANAIS,482,0,65
248,H,YAGO,481,0,65
249,H,ILYAS,477,0,64
250,H,ALEXANDER,475,0,64
251,H,PEDRO,472,0,63
252,H,ANDREU,466,0,63
253,D,VINYET,462,0,62
254,D,MÍRIAM/MIRIAM,459,0,62
255,H,LUIS,452,0,61
255,H,ZAKARIA,452,0,61
257,H,KEVIN,446,0,60
258,D,CÈLIA/CELIA,442,0,59
259,H,YASSIN,441,0,59
260,H,MUHAMMAD,440,0,59
261,H,TONI,432,0,58
262,H,ELOY,428,0,57
263,H,PEP,427,0,57
264,D,ESTEL,425,0,57
265,D,NINA,420,0,56
266,H,ALI/ALÍ,419,0,56
267,H,DARIO/DARÍO,417,0,56
268,D,GABRIELA,411,0,55
269,H,ADAY,410,0,55
270,D,AMINA,409,0,55
271,D,ISRAE,408,0,55
272,H,EDUARD,407,0,55
272,H,GUILLERMO,407,0,55
272,H,MARÇAL,407,0,55
275,D,GAL·LA,405,0,54
276,D,EDURNE,402,0,54
277,D,LUNA,398,0,53
278,D,LUA,397,0,53
279,D,RIM,396,0,53
279,D,TRIANA,396,0,53
281,H,NEIZAN,394,0,53
282,H,MOHAMED AMIN,393,0,53
283,H,HAMZA,392,0,53
284,D,THAÍS/THAIS,383,0,51
285,D,ARAN/ARÁN,382,0,51
286,D,ISABEL,380,0,51
286,H,NIZAR,380,0,51
288,D,MARYAM,377,0,51
289,D,DIANA,375,0,50
289,H,GUIU,375,0,50
289,H,RAMON/RAMÓN,375,0,50
292,H,JOFRE,374,0,50
292,D,MERITXELL,374,0,50
294,H,AHMED,373,0,50
295,D,YAIZA,370,0,50
296,D,LÍDIA/LIDIA,366,0,49
297,H,FRANCESC,364,0,49
298,H,YAHYA,363,0,49
299,H,LLUÍS,362,0,49
299,H,MAURO,362,0,49
301,D,HIBA,361,0,48
301,H,SEBASTIAN/SEBASTIÁN,361,0,48
303,H,JESÚS,358,0,48
304,D,BASMA,356,0,48
305,H,IAGO,351,0,47
306,D,NEUS,350,0,47
306,H,SAÜL/SAÚL,350,0,47
308,H,LEONARDO,349,0,47
309,D,YASMINA,344,0,46
310,D,RUTH,342,0,46
311,D,ÀNGELA/ÁNGELA,341,0,46
311,H,WALID,341,0,46
313,H,ANDRÉS,340,0,46
313,D,ASTRID,340,0,46
313,H,OT,340,0,46
316,H,MARK,339,0,46
316,H,NOEL,339,0,46
318,H,MOHAMMED,338,0,45
318,D,SÍLVIA/SILVIA,338,0,45
318,D,YANIRA,338,0,45
321,D,GEORGINA,337,0,45
321,D,HAJAR,337,0,45
323,H,ANDER,335,0,45
324,H,LUKA,331,0,44
325,H,IBAI,330,0,44
325,H,ISMAÏL/ISMAÍL,330,0,44
325,D,MAYA,330,0,44
328,H,SAAD,329,0,44
329,D,AURA,327,0,44
329,D,TÀNIA/TANIA,327,0,44
331,D,CAROLINA,326,0,44
332,H,ABRAHAM,325,0,44
332,H,URIEL,325,0,44
334,H,IGNACIO,323,0,43
335,H,CARLES,322,0,43
336,D,SARAY,320,0,43
337,H,ARES,319,0,43
337,H,GONZALO,319,0,43
339,D,GAL LA,317,0,43
339,D,GEMMA,317,0,43
341,D,DÚNIA/DUNIA,313,0,42
342,H,MIGUEL ÀNGEL/MIGUEL ÁNGEL,311,0,42
343,H,AMIN,309,0,41
343,D,VIOLETA,309,0,41
345,H,BRU,307,0,41
346,D,RITAJ,306,0,41
347,H,DENÍS/DENIS,304,0,41
347,H,IU/ÏU,304,0,41
349,H,IYAD,301,0,40
350,D,JULIETA,300,0,40
350,D,NOÈLIA/NOELIA,300,0,40
352,D,INAS,296,0,40
353,D,IMAN,295,0,40
353,D,TANIT,295,0,40
355,H,GORKA,294,0,39
356,D,AISHA,293,0,39
356,H,DANI,293,0,39
358,D,HAFSA,292,0,39
358,D,JANNA,292,0,39
360,D,ÍNDIA,291,0,39
360,D,ITZIAR,291,0,39
362,D,DANIELLA,290,0,39
362,D,RÀNIA/RANIA,290,0,39
362,D,SANDRA,290,0,39
365,D,NAGORE,287,0,39
365,D,NOOR,287,0,39
367,D,NOEMÍ/NOEMI,285,0,38
368,H,JORGE,284,0,38
369,H,YASSIR,283,0,38
370,D,DANA,282,0,38
371,D,MANUELA,281,0,38
371,D,SAFAE,281,0,38
373,D,AICHA,278,0,37
374,H,FÈLIX/FÉLIX,275,0,37
375,D,FATOUMATA,274,0,37
376,D,BIANCA,273,0,37
376,H,MAGÍ,273,0,37
378,H,EIDEN,272,0,37
378,D,LENA,272,0,37
380,D,LEIA,269,0,36
380,H,OLEGUER,269,0,36
380,H,YOUNES,269,0,36
383,H,DANTE,268,0,36
384,D,CORAL,266,0,36
384,D,HIDAYA,266,0,36
386,D,LEA,264,0,35
387,D,ALAE,263,0,35
388,H,HARON,262,0,35
389,H,JOAQUÍN,260,0,35
389,D,TASNIM,260,0,35
391,H,YASSER,259,0,35
392,D,FÀTIMA ZAHRA/FÁTIMA ZAHRA,257,0,35
393,D,DAFNE,256,0,34
394,D,RAQUEL,253,0,34
394,D,SAMARA,253,0,34
396,D,AZAHARA,251,0,34
396,D,LLUNA,251,0,34
396,H,SAMI,251,0,34
399,D,PAOLA,249,0,33
400,H,ARTUR,248,0,33
401,H,EUDALD,247,0,33
402,H,IGNASI,246,0,33
403,D,AMAIA,245,0,33
403,D,ZAINAB,245,0,33
405,H,MATEU,243,0,33
406,H,BRUC,242,0,32
406,H,JUAN JOSÉ,242,0,32
408,H,GIL,241,0,32
409,D,BETH,240,0,32
410,H,CHRISTIAN,238,0,32
410,D,UMA,238,0,32
410,D,YOUSRA,238,0,32
413,H,ALEXIS,236,0,32
414,D,AMAL,235,0,32
415,D,DÀLIA/DALIA,234,0,31
416,D,AINET,233,0,31
416,H,OTGER,233,0,31
418,H,ALBERTO,231,0,31
418,D,AMÈLIA/AMELIA,231,0,31
418,D,IONA,231,0,31
421,D,ARYA,228,0,31
421,H,FERNANDO,228,0,31
421,D,GIULIA,228,0,31
421,H,JOAQUIM,228,0,31
425,D,LAILA,227,0,30
426,D,CAMILA,226,0,30
426,D,SORAYA,226,0,30
428,D,YASMINE,225,0,30
429,D,FARAH,223,0,30
429,D,MÒNICA/MÓNICA,223,0,30
431,H,RICARD,222,0,30
432,H,ELIAN/ELIÁN,221,0,30
432,D,WIAM,221,0,30
434,D,ESTHER,220,0,30
435,H,GUERAU,219,0,29
436,D,ROSA,217,0,29
437,D,AURORA,215,0,29
437,H,EDER,215,0,29
439,D,DUNA,214,0,29
439,H,ENEKO,214,0,29
439,H,ILÍAS,214,0,29
442,H,ACHRAF,213,0,29
442,D,AINOA,213,0,29
442,D,ARIANA,213,0,29
442,H,ENRIQUE,213,0,29
442,D,ESTELA,213,0,29
442,H,ROBERT,213,0,29
448,H,EIDAN,211,0,28
448,D,SHEILA,211,0,28
450,D,IVETTE,210,0,28
450,D,SARAH,210,0,28
450,H,ZAID,210,0,28
453,D,BLAU,209,0,28
454,D,DÀNAE/DÁNAE/DANAE,208,0,28
454,D,FIONA,208,0,28
454,H,JOSÉ ANTONIO,208,0,28
454,D,MONTSERRAT,208,0,28
458,D,MILA,207,0,28
458,H,SIMON/SIMÓN,207,0,28
460,D,TXELL,205,0,28
461,D,KAWTAR,204,0,27
461,H,YASSINE,204,0,27
463,D,ARWA,202,0,27
463,H,JAD,202,0,27
463,H,MATTEO,202,0,27
463,D,NAYRA,202,0,27
467,D,ELISA,199,0,27
467,D,JUNE,199,0,27
469,D,IRATI,198,0,27
469,D,ISRAA,198,0,27
471,H,EDUARDO,197,0,26
471,D,MARA,197,0,26
471,D,NAIRA,197,0,26
471,H,SIRAJ,197,0,26
475,D,AMANDA,196,0,26
476,H,ERICK,195,0,26
477,D,SÒNIA/SONIA,194,0,26
478,H,MÀXIM,193,0,26
479,H,BRYAN,192,0,26
480,D,AGNÈS,190,0,26
480,D,ERIN,190,0,26
480,H,EVAN,190,0,26
483,D,ANTONELLA,189,0,25
484,D,ÀRIA/ARIA,188,0,25
484,D,JIMENA,188,0,25
486,H,MAHER,187,0,25
486,H,REDA,187,0,25
488,H,HAROUN,186,0,25
489,H,MOHAMED AMINE,185,0,25
490,D,NARA,184,0,25
491,H,ANWAR,183,0,25
492,D,ALICE,182,0,24
492,H,ISHAK,182,0,24
494,H,CÈSAR/CÉSAR,181,0,24
494,D,EMILY,181,0,24
494,D,JORDINA,181,0,24
497,H,GUIFRÉ,180,0,24
497,D,LILA,180,0,24
497,H,NAEL,180,0,24
497,D,SAMIRA,180,0,24
501,H,LORENZO,177,0,24
501,D,MANAR,177,0,24
501,H,TIAGO,177,0,24
504,D,ANA MARIA/ANA MARÍA,176,0,24
504,D,MARIAMA,176,0,24
504,H,MÁXIMO,176,0,24
507,D,ELISABETH,175,0,23
508,D,MICHELLE,174,0,23
508,D,NAOMI,174,0,23
508,H,WASSIM,174,0,23
511,H,ARON/ARÓN,173,0,23
511,D,NADA,173,0,23
513,H,ALESSANDRO,171,0,23
513,H,ALEXANDRE,171,0,23
513,H,SALVADOR,171,0,23
516,D,AMINATA,170,0,23
517,H,ALGUER,169,0,23
517,H,LEÓN,169,0,23
517,D,SOPHIA,169,0,23
517,D,SOPHIE,169,0,23
