Pos.,Sexe,Nom,Rànquing. Freqüència,Rànquing. ‰
521,D,AVRIL,168,0,23
521,H,RODRIGO,168,0,23
521,H,ZIYAD,168,0,23
524,H,TON,167,0,22
525,H,NACHO,166,0,22
526,H,BENJAMÍN,165,0,22
526,D,BET,165,0,22
528,H,JONATHAN,164,0,22
528,H,RAYANE,164,0,22
530,D,IKRAM,163,0,22
531,D,YARA,162,0,22
532,D,DOUAE,161,0,22
532,H,MOHAMED REDA,161,0,22
534,D,SABRINA,160,0,21
535,H,AIMAR,159,0,21
536,D,ÀSIA,158,0,21
536,H,DAN,158,0,21
536,H,NADIR,158,0,21
536,D,TERESA,158,0,21
536,H,YAEL,158,0,21
541,D,GAIA,157,0,21
541,H,KARIM,157,0,21
541,H,ROMEO,157,0,21
544,H,ARTURO,156,0,21
544,D,KIARA,156,0,21
544,H,LOGAN,156,0,21
547,H,JOSÉ MANUEL,155,0,21
547,D,PATRÍCIA/PATRICIA,155,0,21
549,H,ANOUAR,154,0,21
549,H,SANTI,154,0,21
551,H,NEL,153,0,21
552,H,MOUAD,152,0,20
552,D,ZAIRA,152,0,20
554,D,MAROUA,151,0,20
554,D,MERCÈ,151,0,20
556,H,ADÁN,150,0,20
556,D,ADARA,150,0,20
556,H,ETHAN,150,0,20
556,H,EZEQUIEL,150,0,20
556,H,IMRANE,150,0,20
556,H,RICARDO,150,0,20
556,D,SAFA,150,0,20
563,D,EVELYN,149,0,20
563,H,THEO,149,0,20
565,D,ELISABET,148,0,20
565,D,ETNA,148,0,20
565,H,JAIRO,148,0,20
565,H,MIKEL,148,0,20
565,D,VERÒNICA/VERÓNICA,148,0,20
570,D,ANASTÀSIA/ANASTASIA,147,0,20
570,H,BADR,147,0,20
570,D,LEILA,147,0,20
570,H,ROI,147,0,20
574,D,ASHLEY,146,0,20
574,H,FELIPE,146,0,20
574,H,IBRAHIMA,146,0,20
574,H,JUAN ANTONIO,146,0,20
578,D,ARIANNA,145,0,19
578,D,CHIARA,145,0,19
580,H,ABDELLAH,144,0,19
580,D,MARIANA,144,0,19
582,H,JUAN MANUEL,143,0,19
582,H,NABIL,143,0,19
582,H,YERAI,143,0,19
585,H,EINAR,142,0,19
585,D,EMÍLIA/EMILIA,142,0,19
585,D,ÈNIA/ENIA,142,0,19
585,H,ERNEST,142,0,19
589,H,ROMAN/ROMÁN,141,0,19
590,H,ANTONI,139,0,19
590,H,KARAM,139,0,19
590,H,LUKAS,139,0,19
590,H,MOUSSA,139,0,19
590,D,WISSAL,139,0,19
595,H,DAMIÁN,138,0,19
595,H,NAHUEL,138,0,19
595,H,TRISTAN/TRISTÁN,138,0,19
598,D,DOUNIA,137,0,18
598,H,LUCCA,137,0,18
598,D,NORAH,137,0,18
598,H,TIAN,137,0,18
602,D,CATALINA,136,0,18
602,H,GRAU,136,0,18
604,D,ANIA,135,0,18
604,H,MAHAMADOU,135,0,18
604,D,NAIMA,135,0,18
607,D,ABRAR,134,0,18
607,D,IRUNE,134,0,18
607,D,JANAT,134,0,18
607,H,NAÏM/NAÍM,134,0,18
611,D,ALINA,133,0,18
611,D,CORA,133,0,18
611,H,JAIME,133,0,18
611,H,OUSSAMA,133,0,18
615,D,LUCIANA,132,0,18
615,D,MARAM,132,0,18
617,H,JACOB,131,0,18
617,D,JUANA,131,0,18
617,D,SAMANTHA,131,0,18
620,H,NATHAN,130,0,17
620,D,OLGA,130,0,17
622,H,DAMIÀ,129,0,17
622,D,HAWA,129,0,17
622,H,JOSÉ LUIS,129,0,17
622,D,MANAL,129,0,17
622,H,MOHAMED ALI/MOHAMED ALÍ,129,0,17
622,H,MUSA,129,0,17
622,H,PAÜL/PAÚL,129,0,17
629,D,NAILA,128,0,17
630,H,MARWAN,127,0,17
631,D,AMÀLIA/AMALIA,126,0,17
631,H,ARMAND,126,0,17
631,H,BRAIS,126,0,17
631,D,NOHA,126,0,17
631,D,SALOMÉ,126,0,17
636,H,EMMANUEL,125,0,17
636,D,JULIETTE,125,0,17
636,H,ZIAD,125,0,17
639,H,EROS,124,0,17
639,H,VALENTINO,124,0,17
641,D,IKHLAS,123,0,17
641,D,ITZEL,123,0,17
641,H,JOSÉ MARIA/JOSÉ MARÍA,123,0,17
641,D,MIRANDA,123,0,17
645,D,ANTÒNIA/ANTONIA,122,0,16
645,D,AYLEN,122,0,16
645,H,ZAYD,122,0,16
648,H,HUG,121,0,16
648,D,RIHAB,121,0,16
648,H,SAM,121,0,16
651,H,ANASS,120,0,16
651,D,DOHA,120,0,16
651,D,GLÒRIA/GLORIA,120,0,16
651,D,REBECA,120,0,16
651,D,ROMAISA,120,0,16
651,H,SAFWAN,120,0,16
651,H,SALIM,120,0,16
658,D,ANEU/ÀNEU,119,0,16
658,H,HASSAN,119,0,16
658,H,ISLAM,119,0,16
658,D,ROEYA,119,0,16
658,H,TAHA,119,0,16
658,D,YLÈNIA/YLENIA,119,0,16
664,D,IMANE,118,0,16
664,D,MEL,118,0,16
664,D,SAFAA,118,0,16
667,H,EMILIO,117,0,16
667,D,MARÍA DEL CARMEN,117,0,16
667,D,MARÍA JOSÉ,117,0,16
667,H,MÀRIUS,117,0,16
667,H,OTTO,117,0,16
672,D,ABIGAÏL/ABIGAIL,116,0,16
672,D,AMY,116,0,16
672,D,CATERINA,116,0,16
672,D,LIS,116,0,16
672,D,THÀLIA/THALIA,116,0,16
677,D,BEATRIZ,115,0,15
677,D,INDIRA,115,0,15
677,D,NOR,115,0,15
680,D,FIRDAWS,114,0,15
680,D,IRATXE,114,0,15
680,D,SOL,114,0,15
683,H,ABDERRAHMAN,113,0,15
683,D,ARLETTE,113,0,15
683,H,BRAYAN,113,0,15
686,D,ÀLEX/ÁLEX,112,0,15
686,D,LORENA,112,0,15
688,D,DÀNIA/DANIA,111,0,15
688,D,EIDER,111,0,15
688,D,KAOUTAR,111,0,15
688,H,MILAN/MILÁN,111,0,15
688,D,NOAH,111,0,15
688,H,SALMAN,111,0,15
694,H,ABDULLAH,110,0,15
694,H,AMINE,110,0,15
694,D,HOUDA,110,0,15
694,D,INSAF,110,0,15
694,H,JULIO,110,0,15
694,H,RIYAD,110,0,15
700,H,JULIÁN,109,0,15
700,H,NEO,109,0,15
700,H,ROBERTO,109,0,15
703,D,AYLA,108,0,15
703,D,MEGAN,108,0,15
703,D,SIENA,108,0,15
706,D,ASSIA,107,0,14
706,H,BRIAN,107,0,14
706,D,JADE,107,0,14
706,H,MILO,107,0,14
706,D,TATIANA,107,0,14
711,H,ADONAY,106,0,14
711,D,ALAA,106,0,14
711,H,ARAM,106,0,14
711,D,CHAIMAE,106,0,14
711,D,DANNA,106,0,14
711,H,MAMADOU,106,0,14
711,H,MATHIAS,106,0,14
711,H,RAI,106,0,14
711,D,SAMIA,106,0,14
711,H,SOHAIB,106,0,14
721,D,IDAIRA,105,0,14
721,D,UXIA,105,0,14
723,D,CAYETANA,104,0,14
723,D,EIRA,104,0,14
723,H,FRANCISCO JAVIER,104,0,14
723,D,NAYLA,104,0,14
727,D,AMAYA,103,0,14
727,D,EULÀLIA/EULALIA,103,0,14
727,H,JOSUÈ/JOSUÉ,103,0,14
727,D,MATILDA,103,0,14
727,H,YOUSEF,103,0,14
732,D,DARIA/DARÍA,102,0,14
732,D,ELBA,102,0,14
732,D,ELIZABETH,102,0,14
732,H,MICHAEL,102,0,14
732,H,WAEL,102,0,14
737,D,ERICA,101,0,14
737,D,NEKANE,101,0,14
737,D,NIHAD,101,0,14
737,D,TELMA,101,0,14
741,D,FIRDAOUS,100,0,13
741,H,JULIÀ,100,0,13
741,H,NOÈ/NOÉ,100,0,13
744,D,AMELIE/AMÉLIE,99,0,13
744,H,AMJAD,99,0,13
744,D,DOUAA,99,0,13
744,H,ISRAEL,99,0,13
744,H,MOISÈS/MOISÉS,99,0,13
749,H,ADNAN,98,0,13
749,H,AHMAD,98,0,13
749,D,AYESHA,98,0,13
749,D,CHARLOTTE,98,0,13
749,D,DAYANA,98,0,13
749,D,EDITH,98,0,13
749,D,ELISENDA,98,0,13
749,D,FATIMA ZOHRA,98,0,13
749,D,NAZARET,98,0,13
758,D,JINAN,97,0,13
758,D,MEI,97,0,13
758,H,MOUHAMED,97,0,13
758,H,SOUFIAN,97,0,13
762,D,AINHARA,96,0,13
762,D,EDNA,96,0,13
762,H,ESTEBAN,96,0,13
762,D,KIRA,96,0,13
762,D,NAROA,96,0,13
762,H,OLAU,96,0,13
762,H,RYAN,96,0,13
769,D,ÀGATA/ÁGATA,95,0,13
769,H,BOSCO,95,0,13
769,H,IMAD,95,0,13
769,H,NASSIM,95,0,13
769,D,NAYELI,95,0,13
769,D,RODAINA,95,0,13
769,D,RUT,95,0,13
776,H,AIDAN,94,0,13
776,H,AIMAN,94,0,13
776,H,ANDREI,94,0,13
776,D,ANGIE,94,0,13
776,H,SAMIR,94,0,13
776,D,SUSANA,94,0,13
776,H,THOMAS,94,0,13
776,H,UNAX,94,0,13
784,H,AGUSTÍN,93,0,12
784,H,ALFONSO,93,0,12
784,D,BAYAN,93,0,12
784,H,DENNÍS/DENNIS,93,0,12
784,D,ESTRELLA,93,0,12
784,D,JÈSSICA/JESSICA,93,0,12
790,D,AHLAM,92,0,12
790,D,AISSATOU,92,0,12
790,D,ANGELINA,92,0,12
790,H,JUAN CARLOS,92,0,12
790,D,RIHAM,92,0,12
795,D,ASMAE,91,0,12
795,D,BELLA,91,0,12
795,D,DOLORES,91,0,12
795,H,EFRÈN/EFRÉN,91,0,12
795,D,FRIDA,91,0,12
795,D,MALENA,91,0,12
795,D,MELISSA,91,0,12
795,H,NARCÍS,91,0,12
795,H,NEIL,91,0,12
795,H,PATRICK,91,0,12
805,D,ADELA,90,0,12
805,D,ALANA,90,0,12
805,D,ALISA,90,0,12
